id,name,programId,levelId,openings,futureOpenings,dayNumber,startTime,endTime,dayName,location,location.short,level,helper,helper2
567,Swish! Aqua Studio - Outdoor Pool: Zuma Rainbow with Coach Amelia F.,61,13,1,0,1,4:30 PM,5:00PM,Sun,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Rainbow,Sun|Aqua Studio - Outdoor Pool|Zuma Rainbow|4:30 PM,Sun|Aqua Studio|Zuma Rainbow|4:30 PM
587,Swish! Aqua Studio - Outdoor Pool: Zuma Rainbow with Coach Ian W.,61,13,1,0,7,11:30 AM,12:00PM,Sat,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Rainbow,Sat|Aqua Studio - Outdoor Pool|Zuma Rainbow|11:30 AM,Sat|Aqua Studio|Zuma Rainbow|11:30 AM
825,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Ivan T.,68,13,1,0,7,3:00 PM,3:30PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sat|Laguna - 20m Outdoor Pool|Zuma Rainbow|3:00 PM,Sat|Laguna|Zuma Rainbow|3:00 PM
831,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Amelia F.,68,13,1,0,7,9:30 AM,10:00AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sat|Laguna - 20m Outdoor Pool|Zuma Rainbow|9:30 AM,Sat|Laguna|Zuma Rainbow|9:30 AM
575,Swish! Aqua Studio - Outdoor Pool: Zuma Rainbow with Coach Nusaibah Sajiah B.,61,13,0,0,1,9:30 AM,10:00AM,Sun,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Rainbow,Sun|Aqua Studio - Outdoor Pool|Zuma Rainbow|9:30 AM,Sun|Aqua Studio|Zuma Rainbow|9:30 AM
2693,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Ivan T.,68,13,0,0,1,10:30 AM,11:00AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sun|Laguna - 20m Outdoor Pool|Zuma Rainbow|10:30 AM,Sun|Laguna|Zuma Rainbow|10:30 AM
2598,Swish! Hub - Sheltered Pool: Zuma Rainbow with Coach Ryan L.,17,13,0,0,2,5:00 PM,5:30PM,Mon,Hub - Sheltered Pool,Hub,Zuma Rainbow,Mon|Hub - Sheltered Pool|Zuma Rainbow|5:00 PM,Mon|Hub|Zuma Rainbow|5:00 PM
797,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Ryan L.,68,13,0,0,3,5:00 PM,5:30PM,Tue,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Tue|Laguna - 20m Outdoor Pool|Zuma Rainbow|5:00 PM,Tue|Laguna|Zuma Rainbow|5:00 PM
2841,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Ryan L.,68,13,0,0,4,3:30 PM,4:00PM,Wed,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Wed|Laguna - 20m Outdoor Pool|Zuma Rainbow|3:30 PM,Wed|Laguna|Zuma Rainbow|3:30 PM
2411,Swish! Hub - Sheltered Pool: Zuma Rainbow with Coach Ernest K.,17,13,0,0,5,5:00 PM,5:30PM,Thu,Hub - Sheltered Pool,Hub,Zuma Rainbow,Thu|Hub - Sheltered Pool|Zuma Rainbow|5:00 PM,Thu|Hub|Zuma Rainbow|5:00 PM
2912,Swish! Aqua Studio - Outdoor Pool: Zuma Rainbow with Coach Ryan L.,61,13,0,0,7,9:00 AM,9:30AM,Sat,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Rainbow,Sat|Aqua Studio - Outdoor Pool|Zuma Rainbow|9:00 AM,Sat|Aqua Studio|Zuma Rainbow|9:00 AM
3059,Swish! Hub - Sheltered Pool: Zuma Rainbow with Coach Ryan L.,17,13,0,0,7,3:00 PM,3:30PM,Sat,Hub - Sheltered Pool,Hub,Zuma Rainbow,Sat|Hub - Sheltered Pool|Zuma Rainbow|3:00 PM,Sat|Hub|Zuma Rainbow|3:00 PM
1017,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Shar P.,68,13,0,0,7,12:00 PM,12:30PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sat|Laguna - 20m Outdoor Pool|Zuma Rainbow|12:00 PM,Sat|Laguna|Zuma Rainbow|12:00 PM
832,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Shar P.,68,13,0,0,7,4:00 PM,4:30PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sat|Laguna - 20m Outdoor Pool|Zuma Rainbow|4:00 PM,Sat|Laguna|Zuma Rainbow|4:00 PM
2571,Swish! Laguna - 20m Outdoor Pool: Zuma Roller with Coach Ryan L.,68,10,4,0,3,3:30 PM,4:00PM,Tue,Laguna - 20m Outdoor Pool,Laguna,Zuma Roller,Tue|Laguna - 20m Outdoor Pool|Zuma Roller|3:30 PM,Tue|Laguna|Zuma Roller|3:30 PM
835,Swish! Laguna - 20m Outdoor Pool: Zuma Roller with Coach Ivan T.,68,10,4,0,7,2:30 PM,3:00PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Roller,Sat|Laguna - 20m Outdoor Pool|Zuma Roller|2:30 PM,Sat|Laguna|Zuma Roller|2:30 PM
